Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
multisig-sm-08,2.0151216690788488e-4,2.0030903548390596e-4,2.0263221392904387e-4,4.722429866576333e-6,4.151934532442706e-6,5.153492631248001e-6
multisig-sm-09,2.0432614683632512e-4,2.0345239390231654e-4,2.0502664043023263e-4,3.0459376973951546e-6,2.5164324517101925e-6,3.630578842170825e-6
multisig-sm-10,2.856088178625904e-4,2.840635355739273e-4,2.8775818514540844e-4,8.543579479102474e-6,7.177458692862733e-6,1.2131510925189073e-5
ping-pong-1,1.6871629566153726e-4,1.682156567520467e-4,1.6922851990009712e-4,2.3949659374429533e-6,2.2173932697105096e-6,2.6924965703357513e-6
ping-pong-2,1.6556889853189637e-4,1.6513552018267787e-4,1.661695209107865e-4,2.049384945097665e-6,1.640204966452852e-6,3.423303603948828e-6
ping-pong_2-1,1.0232522349494382e-4,1.0185138361136956e-4,1.0298074554511174e-4,2.3653394510512337e-6,1.8895214061006519e-6,3.3658579717237735e-6
prism-1,8.071652899603127e-5,8.046148600655084e-5,8.101100212942554e-5,1.1474068488253301e-6,9.72408201995571e-7,1.4804987034434132e-6
prism-2,2.074228099795711e-4,2.069766686074802e-4,2.0794677523414202e-4,2.03867584634668e-6,1.6093360003721881e-6,2.513937234800436e-6
prism-3,1.8610109916875091e-4,1.8530052127192447e-4,1.8690820155759717e-4,3.6946030074024886e-6,2.9645475037123507e-6,4.938582247830648e-6
pubkey-1,6.925998371734715e-5,6.898246338935426e-5,6.96375240682973e-5,1.4392809705769691e-6,1.0121084620977129e-6,2.3528787349145238e-6
stablecoin_1-1,5.017971743163019e-4,5.001735113563809e-4,5.029451144415128e-4,6.087736452068514e-6,4.3550188245882435e-6,8.242991800525318e-6
stablecoin_1-2,9.381805150131041e-5,9.35870657167583e-5,9.423732408738688e-5,1.2633266387086291e-6,9.024334096952781e-7,1.9918580204325964e-6
stablecoin_1-3,5.53694489401911e-4,5.518621935484217e-4,5.557208648306615e-4,8.410647648035356e-6,7.636372661779271e-6,9.34305935288334e-6
stablecoin_1-4,1.0207705231246288e-4,1.0151769251581441e-4,1.0290894446981254e-4,2.829629185031323e-6,1.8926124214777195e-6,4.7694076370871335e-6
stablecoin_1-5,7.130027718138457e-4,7.106523048864605e-4,7.155330204780632e-4,1.0354451809733899e-5,9.246150837800064e-6,1.1641638198010326e-5
stablecoin_1-6,1.2235157939381646e-4,1.2157176799409838e-4,1.2419749220718586e-4,4.995204981803671e-6,1.53192700628616e-6,8.98677351913821e-6
stablecoin_2-1,4.936391955388293e-4,4.921589509889557e-4,4.962684536023577e-4,8.748000671734891e-6,6.999359042866523e-6,1.3319106216757555e-5
stablecoin_2-2,9.668980251520068e-5,9.632283865763224e-5,9.691785617840603e-5,1.2273864492712964e-6,9.022120238721306e-7,1.6842048106308422e-6
stablecoin_2-3,5.565953185841067e-4,5.547963801421923e-4,5.590278923167192e-4,8.64778109468576e-6,6.783993339961723e-6,1.1876666543351412e-5
stablecoin_2-4,9.927309894259176e-5,9.903566573410568e-5,9.957862365866117e-5,1.205205932082022e-6,9.993958623034787e-7,1.6624031472138744e-6
token-account-1,9.356227711816303e-5,9.333407968066873e-5,9.384821603763574e-5,1.1641417534685733e-6,9.276572600035743e-7,1.6023195208060331e-6
token-account-2,1.6221940890774993e-4,1.6180090888534188e-4,1.626175828624932e-4,1.7175189725810266e-6,1.4307895213093023e-6,2.2036284847329007e-6
uniswap-1,1.9624600626295567e-4,1.9589434440103583e-4,1.9659473512652592e-4,1.4313639372441622e-6,1.2823119460337044e-6,1.666382537501474e-6
uniswap-2,1.0865615803041029e-4,1.0789876439193647e-4,1.101935621166843e-4,4.278638772163413e-6,2.6460131338143924e-6,6.657008370567238e-6
uniswap-3,8.671169007960371e-4,8.64528655136376e-4,8.701308174249009e-4,1.2049243229001006e-5,9.472522172027018e-6,1.5621550951316336e-5
uniswap-4,1.5925980008187638e-4,1.586340413846866e-4,1.5984504054028688e-4,2.607341178997211e-6,2.436602043094692e-6,2.8002615165752072e-6
uniswap-5,5.707620558467764e-4,5.69341808425008e-4,5.732740894506493e-4,7.999851652486756e-6,5.088338958656017e-6,1.4787863733490163e-5
uniswap-6,1.5208944290510062e-4,1.515090928450266e-4,1.5273910753299015e-4,2.697746448779147e-6,2.331554806972304e-6,2.9979858179830385e-6
vesting-1,1.7346531377482332e-4,1.730669176466692e-4,1.7407594867447116e-4,2.0532479787087356e-6,1.446312966986961e-6,2.8810966341961158e-6
