Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
escrow-redeem_1-1,1.7922749198383378e-4,1.783737565359483e-4,1.8110965192033343e-4,5.249140548032586e-6,3.3279704771001406e-6,9.928058191972034e-6
escrow-redeem_1-2,1.7767575209060051e-4,1.7726550841150492e-4,1.7841462045441157e-4,2.207001617840234e-6,1.3602536802661645e-6,3.2814006709570013e-6
escrow-redeem_2-1,2.1020498619258362e-4,2.0775251075846163e-4,2.1470201173485624e-4,1.4396006918031912e-5,6.335148689428103e-6,2.413101357129839e-5
escrow-redeem_2-2,2.107519883249157e-4,2.0847146167745668e-4,2.1605231889654296e-4,1.4527637069446013e-5,6.259627337879204e-6,2.6290876429472163e-5
escrow-redeem_2-3,2.0990392458484824e-4,2.0861916087504308e-4,2.1165086547787968e-4,6.596214076168325e-6,5.2093754433403146e-6,9.071251547995799e-6
escrow-refund-1,7.749511604470475e-5,7.72846559757477e-5,7.779865607568799e-5,1.1071184589995294e-6,8.211695057548193e-7,1.6072112221947014e-6
future-increase-margin-1,1.2650363913074662e-4,1.2565212974468418e-4,1.2841623164149866e-4,4.878544292575944e-6,2.8919409833280642e-6,8.930728937992396e-6
future-increase-margin-2,2.6908842616582546e-4,2.676531619471133e-4,2.7065147866105367e-4,6.469786668870065e-6,5.570700614810411e-6,7.794395605548122e-6
future-increase-margin-3,2.6562683955528546e-4,2.6514015495550223e-4,2.666089268827531e-4,2.889312466432316e-6,1.8321755620562865e-6,4.8853860801104905e-6
future-increase-margin-4,2.566444369241332e-4,2.544151857425716e-4,2.618388624115173e-4,1.3716924385728656e-5,7.8398695289697e-6,2.5179654128513736e-5
future-increase-margin-5,4.3152807828104823e-4,4.3032102736535396e-4,4.3351992907980115e-4,6.2544273390752775e-6,3.629960910446423e-6,1.0447330722774223e-5
future-pay-out-1,1.270721573065996e-4,1.264735006915071e-4,1.2792233171819752e-4,3.051954310818197e-6,2.296856996988489e-6,4.231998347504287e-6
future-pay-out-2,2.67731267676548e-4,2.668905301086485e-4,2.691013253416968e-4,4.686608993680588e-6,3.4810591345821863e-6,6.213577993781889e-6
future-pay-out-3,2.706129311822147e-4,2.690037141090842e-4,2.721254723872891e-4,6.76741051299209e-6,6.178950125715632e-6,7.466762373611164e-6
future-pay-out-4,4.573192544294908e-4,4.4624227765828955e-4,4.734770414696797e-4,6.156684860781637e-5,4.5254099561729863e-5,7.8382817254773e-5
future-settle-early-1,1.2680450583514447e-4,1.2601586763443743e-4,1.2939547202625413e-4,5.750223182575844e-6,2.248933464468089e-6,1.1707012174950272e-5
future-settle-early-2,2.755012013670291e-4,2.716456827485262e-4,2.8371120857025896e-4,2.4001231879167383e-5,1.2001126874004001e-5,3.734025540779254e-5
future-settle-early-3,2.6779924689277206e-4,2.652979588159217e-4,2.728368453920555e-4,1.5071856363863665e-5,7.0955162092123816e-6,2.690818100086509e-5
future-settle-early-4,3.189097789986434e-4,3.178816344955827e-4,3.208823215531594e-4,5.543214613127047e-6,3.723557980674636e-6,8.475007108915154e-6
